"time","eurhuf","usdhuf","kinfodummy","napi_google","heti_google"
2020-08-12,345.290008544922,292.600006103516,0,5,5
2020-08-13,346.337005615234,293.7080078125,0,11,5
2020-08-16,349.154998779297,294.480010986328,0,0,5
2020-08-17,350.192993164062,294.524993896484,0,5,5
2020-08-18,349.990997314453,293.472991943359,0,6,5
2020-08-19,350.860992431641,297.194000244141,1,17,5
2020-08-20,351.151000976562,298.410003662109,0,4,5
2020-08-23,351.825988769531,298.135009765625,0,0,34
2020-08-24,353.973999023438,299.347991943359,0,4,34
2020-08-25,356.496002197266,301.640014648438,0,0,34
2020-08-26,356.630004882812,302.980010986328,0,39,34
2020-08-27,356.528015136719,301.429992675781,0,31,34
2020-08-30,356.212005615234,298.657989501953,0,6,5
2020-08-31,356.070007324219,297.884002685547,0,5,5
2020-09-01,358.898986816406,302.928009033203,0,3,5
2020-09-02,358.912994384766,304.089996337891,0,4,5
2020-09-03,361.571014404297,306.731994628906,0,3,5
2020-09-06,360.481994628906,304.837005615234,0,3,8
2020-09-07,361.277008056641,306.584991455078,0,7,8
2020-09-08,358.343994140625,304.600006103516,0,5,8
2020-09-09,357.838012695312,302.579986572266,0,0,8
2020-09-10,357.769989013672,302.320007324219,0,18,8
2020-09-13,358.328002929688,302.410003662109,0,0,4
2020-09-14,357.845001220703,302.063995361328,0,0,4
2020-09-15,359.072998046875,303.559997558594,0,9,4
2020-09-16,361.139007568359,306.235992431641,0,8,4
2020-09-17,361.010009765625,304.924987792969,0,0,4
2020-09-20,363.382995605469,309.169006347656,0,4,1
2020-09-21,363.511993408203,310.694000244141,0,4,1
2020-09-22,365.726013183594,313.356994628906,0,0,1
2020-09-23,366.247009277344,314.304992675781,0,0,1
2020-09-24,363.837005615234,313.221984863281,0,0,1
2020-09-27,365.746002197266,313.872985839844,0,0,2
2020-09-28,366.221984863281,313.899993896484,0,8,2
2020-09-29,365.484985351562,312.350006103516,0,4,2
2020-09-30,363.351989746094,309.989990234375,0,0,2
2020-10-01,359.529998779297,307.246002197266,1,4,2
2020-10-04,360.162994384766,306.015014648438,0,0,1
2020-10-05,360.802001953125,306.345001220703,1,9,1
2020-10-06,360.589996337891,307.470001220703,0,0,1
2020-10-07,359.006011962891,305.130004882812,0,0,1
2020-10-08,357.154998779297,303.809997558594,1,22,1
2020-10-11,357.735992431641,302.93701171875,0,0,2
2020-10-12,361.240997314453,307.811004638672,0,0,2
2020-10-13,363.951995849609,310.157989501953,0,38,2
2020-10-14,365.343994140625,312.148010253906,0,0,2
2020-10-15,365.026000976562,311.626007080078,0,28,2
2020-10-18,366.032989501953,311.335998535156,0,0,3
2020-10-19,366.119995117188,310.679992675781,0,0,3
2020-10-20,364.523986816406,307.669006347656,0,0,3
2020-10-21,364.981994628906,308.546997070312,0,0,3
2020-10-22,365.595001220703,309.388000488281,1,55,3
2020-10-26,365.509002685547,309.43701171875,0,0,2
2020-10-27,365.566009521484,309.315002441406,0,0,2
2020-10-28,368.066009521484,313.648010253906,0,32,2
2020-10-29,369.059997558594,315.463989257812,0,11,2
2020-10-30,368.739990234375,315.910003662109,0,0,2
2020-11-02,367.052001953125,315.755004882812,0,0,6
2020-11-03,366.218994140625,314.739990234375,0,91,6
2020-11-04,366.549987792969,315.204010009766,1,27,6
2020-11-05,362.579986572266,309.394989013672,0,19,6
2020-11-06,359.803985595703,304.179992675781,0,10,6
2020-11-09,360.136993408203,304.424011230469,0,80,7
2020-11-10,359.059997558594,304.548004150391,0,41,7
2020-11-11,356.101013183594,302.903991699219,0,0,7
2020-11-12,355.726989746094,302.255004882812,1,27,7
2020-11-13,357.015014648438,302.087005615234,0,11,7
2020-11-16,359.532989501953,303.910003662109,0,0,2
2020-11-17,361.816009521484,304.845001220703,0,10,2
2020-11-18,362.451995849609,305.029998779297,0,37,2
2020-11-19,361.565002441406,305.804992675781,1,18,2
2020-11-20,360.037994384766,303.649993896484,0,12,2
2020-11-23,361.471984863281,306.165008544922,0,32,9
2020-11-24,361.329986572266,304.825012207031,0,11,9
2020-11-25,361.407012939453,303.845001220703,0,54,9
2020-11-26,361.255004882812,303.790008544922,1,100,9
2020-11-27,362.5,304.049987792969,0,11,9
2020-11-30,361.781005859375,302.350006103516,0,0,2
2020-12-01,358.885986328125,300.799987792969,0,12,2
2020-12-02,359.64599609375,297.75,0,16,2
2020-12-03,359.898986816406,296.940002441406,1,29,2
2020-12-04,358.971008300781,295.39599609375,0,0,2
2020-12-07,360.199005126953,298.165008544922,0,84,5
2020-12-08,361.532989501953,298.820007324219,0,19,5
2020-12-09,358.657989501953,296.350006103516,0,0,5
2020-12-10,356.329010009766,295.089996337891,1,16,5
2020-12-11,355.191986083984,293.101989746094,0,12,5
2020-12-14,354.660003662109,292.489990234375,0,11,2
2020-12-15,355.903991699219,293.255004882812,0,0,2
2020-12-16,356.373992919922,293.170013427734,0,0,2
2020-12-17,355.881011962891,291.239990234375,0,33,2
2020-12-18,357.867004394531,292.649993896484,0,10,2
2020-12-21,361.514007568359,297.897003173828,0,50,4
2020-12-22,362.290985107422,297.743988037109,1,47,4
2020-12-23,363.009002685547,298.125,0,39,4
2020-12-24,363.048004150391,298.005004882812,0,18,4
2020-12-25,363.100006103516,297.679992675781,0,20,4
2020-12-28,364.704986572266,299.059997558594,0,0,1
2020-12-29,364.967987060547,297.871002197266,0,11,1
2020-12-30,365.032989501953,297.660003662109,0,0,1
2020-12-31,365.096984863281,297.274993896484,0,24,1
2021-01-01,362.365997314453,296.760009765625,0,0,1
2021-01-04,362.389007568359,296.299987792969,0,1,6
2021-01-05,361.964996337891,295.200012207031,0,1,6
2021-01-06,358.924987792969,292.350006103516,0,2,6
2021-01-07,359.872985839844,293.256988525391,0,3,6
2021-01-08,360.515014648438,294.996002197266,0,0,6
2021-01-11,361.778991699219,297.804992675781,0,0,1
2021-01-12,361.43701171875,297.589996337891,0,0,1
2021-01-13,360.528991699219,296.584991455078,0,1,1
2021-01-14,360.688995361328,297.135986328125,0,2,1
2021-01-15,360.734985351562,298.420013427734,0,0,1
2021-01-18,360.946990966797,299.109985351562,0,1,2
2021-01-19,359.639007568359,297.484985351562,0,0,2
2021-01-20,357.690002441406,295.984985351562,0,1,2
2021-01-21,357.688995361328,294.980010986328,1,1,2
2021-01-22,357.707000732422,294.140014648438,0,0,2
2021-01-25,357.747985839844,295.095001220703,0,1,8
2021-01-26,359.329010009766,296.420013427734,0,0,8
2021-01-27,360.819000244141,299.019989013672,0,2,8
2021-01-28,361.024993896484,298.679992675781,1,11,8
2021-01-29,359,296.875,0,1,8
2021-02-01,357.213012695312,295.388000488281,0,1,2
2021-02-02,355.976989746094,296.036010742188,0,0,2
2021-02-03,355.9169921875,296.319000244141,0,1,2
2021-02-04,356.132995605469,297.432006835938,0,1,2
2021-02-05,356.796997070312,297.875,1,2,2
2021-02-08,359.049011230469,298.605010986328,0,0,0
2021-02-09,359.446014404297,297.839996337891,0,2,0
2021-02-10,358.158996582031,295.809997558594,0,1,0
2021-02-11,358.040008544922,295.252014160156,1,1,0
2021-02-12,359.290985107422,297.313995361328,0,0,0
2021-02-15,359.080993652344,295.848999023438,0,1,2
2021-02-16,359.240997314453,296.915985107422,0,0,2
2021-02-17,359.286010742188,298.454010009766,0,0,2
2021-02-18,359.494995117188,298.026000976562,0,1,2
2021-02-19,358.779998779297,296.829986572266,0,1,2
2021-02-22,359.524993896484,297.329986572266,0,2,7
2021-02-23,359.671997070312,295.959991455078,0,1,7
2021-02-24,359.984985351562,297.207000732422,0,1,7
2021-02-25,361.242004394531,295.690002441406,1,3,7
2021-02-26,362.529998779297,299.731994628906,0,0,7
2021-03-01,364.092010498047,302.260009765625,0,1,100
2021-03-02,364.632995605469,303.700988769531,0,1,100
2021-03-03,364.385986328125,302.350006103516,0,3,100
2021-03-04,364.976013183594,303.473999023438,1,100,100
2021-03-05,367.68798828125,308.688995361328,0,24,100
2021-03-08,367.953002929688,310.515014648438,0,0,6
2021-03-09,367.699005126953,310.554992675781,0,0,6
2021-03-10,367.390991210938,309.105010986328,0,2,6
2021-03-11,366.625,307.760009765625,1,3,6
2021-03-12,366.81201171875,307.924011230469,0,1,6
2021-03-15,367.561004638672,308.494995117188,0,1,30
2021-03-16,367.613006591797,309.070007324219,0,2,30
2021-03-17,367.8330078125,309.369995117188,0,5,30
2021-03-18,368.917999267578,309.75,1,22,30
2021-03-19,368.600006103516,309.855010986328,0,8,30
2021-03-22,368.170989990234,309.799987792969,0,1,27
2021-03-23,366.873992919922,308.654998779297,0,1,27
2021-03-24,366.751007080078,310.234985351562,0,2,27
2021-03-25,364.657989501953,309.505004882812,1,17,27
2021-03-26,364.393005371094,309.390014648438,0,11,27
2021-03-28,363.031005859375,308.631011962891,0,1,7
2021-03-29,363.502990722656,310.359985351562,0,2,7
2021-03-30,363.752990722656,310.529998779297,0,0,7
2021-03-31,362.446014404297,308.971008300781,0,1,7
2021-04-01,361.744995117188,307.880004882812,0,2,7
2021-04-04,361.380004882812,307.665008544922,0,20,11
2021-04-05,361.442993164062,306.226989746094,0,20,11
2021-04-06,360.910003662109,304.075012207031,0,44,11
2021-04-07,359.148986816406,302.684997558594,0,19,11
2021-04-08,359.372985839844,302.214996337891,1,32,11
2021-04-11,357.721984863281,300.977996826172,0,0,9
2021-04-12,359.669006347656,302.404998779297,0,11,9
2021-04-13,359.375,300.609985351562,0,12,9
2021-04-14,359.371002197266,300.398010253906,0,41,9
2021-04-15,361.341003417969,301.649993896484,1,25,9
2021-04-18,361.630004882812,302.390014648438,0,0,6
2021-04-19,361.460998535156,300.315002441406,0,20,6
2021-04-20,363.269989013672,302.722991943359,0,7,6
2021-04-21,363.944000244141,303.070007324219,0,5,6
2021-04-22,364.217987060547,302.839996337891,1,33,6
2021-04-25,363.954986572266,301.269989013672,0,7,6
2021-04-26,363.483001708984,301.305999755859,0,19,6
2021-04-27,362.677001953125,300.670013427734,0,0,6
2021-04-28,361.941009521484,298.674987792969,0,17,6
2021-04-29,360.205993652344,299.339996337891,1,22,6
2021-05-02,360.265991210938,299.783996582031,0,0,14
2021-05-03,360.591003417969,300.329010009766,0,9,14
2021-05-04,360.569000244141,300.739990234375,0,4,14
2021-05-05,358.950012207031,299.140014648438,0,6,14
2021-05-06,358.971984863281,297.575012207031,1,100,14
2021-05-09,358.350006103516,295.165008544922,0,8,6
2021-05-10,359.269989013672,295.795013427734,0,0,6
2021-05-11,358.89599609375,296.089996337891,0,6,6
2021-05-12,357.513000488281,296.130004882812,0,6,6
2021-05-13,356.761993408203,295.359985351562,1,37,6
2021-05-16,355.078002929688,292.809997558594,0,11,7
2021-05-17,351.402008056641,289.130004882812,0,6,7
2021-05-18,351.709014892578,288.119995117188,0,10,7
2021-05-19,350.609985351562,288.089996337891,0,11,7
2021-05-20,349.911010742188,287.070007324219,1,16,7
2021-05-23,348.691009521484,286.5,0,5,2
2021-05-24,349.757995605469,285.944000244141,0,0,2
2021-05-25,351.313995361328,287.299987792969,0,9,2
2021-05-26,349.449005126953,286.940002441406,0,6,2
2021-05-27,348.438995361328,286.68798828125,0,4,2
2021-05-30,348.161987304688,285.625,0,0,2
2021-05-31,347.337005615234,284.294006347656,0,0,2
2021-06-01,346.591003417969,284.75,0,0,2
2021-06-02,347.688995361328,286.826995849609,0,5,2
2021-06-03,347.330993652344,286.774993896484,1,7,2
2021-06-06,346.786987304688,284.829986572266,0,0,3
2021-06-07,348.816986083984,286.440002441406,0,0,3
2021-06-08,348.588012695312,286.404998779297,0,5,3
2021-06-09,346.300994873047,284.7080078125,0,11,3
2021-06-10,347.954986572266,287.579986572266,1,22,3
2021-06-13,351.247009277344,289.941986083984,0,0,2
2021-06-14,352.717987060547,291.054992675781,0,7,2
2021-06-15,352.087005615234,290.423004150391,0,17,2
2021-06-16,355.996002197266,298.535003662109,0,0,2
2021-06-17,356.247985839844,300.571014404297,0,0,2
2021-06-20,355.656005859375,300.101989746094,0,0,11
2021-06-21,356.277008056641,299.813995361328,0,0,11
2021-06-22,351.169006347656,293.869995117188,0,9,11
2021-06-23,351.665985107422,294.843994140625,0,7,11
2021-06-24,352.18798828125,294.950012207031,1,98,11
2021-06-27,351.990997314453,295.631011962891,0,10,10
2021-06-28,351.828002929688,295.611999511719,0,12,10
2021-06-29,352.010009765625,296.834991455078,0,15,10
2021-06-30,351.828002929688,296.871002197266,0,19,10
2021-07-01,352.382995605469,298.111999511719,0,27,10
2021-07-04,352.152008056641,296.828002929688,0,5,2
2021-07-05,353.779998779297,299.360992431641,0,0,2
2021-07-06,357.628997802734,303.519012451172,0,10,2
2021-07-07,358.571014404297,303.609008789062,1,0,2
2021-07-08,357.644989013672,302.420013427734,0,0,2
2021-07-11,356.031005859375,300.239990234375,0,0,2
2021-07-12,357.945007324219,302.920013427734,0,0,2
2021-07-13,359.242004394531,304.600006103516,0,7,2
2021-07-14,359.661987304688,304.440002441406,0,5,2
2021-07-15,359.915008544922,305,1,14,2
2021-07-18,360.244995117188,306.084991455078,0,0,3
2021-07-19,360.005004882812,306,0,3,3
2021-07-20,360.191986083984,306.359985351562,0,12,3
2021-07-21,359.600006103516,305.105010986328,0,0,3
2021-07-22,360.298004150391,306.369995117188,1,14,3
2021-07-25,362.325012207031,307.571990966797,0,16,1
2021-07-26,362.061004638672,307.584991455078,0,0,1
2021-07-27,361.223999023438,306.483001708984,0,5,1
2021-07-28,360.279998779297,304.209991455078,0,0,1
2021-07-29,358.821990966797,301.869995117188,0,0,1
2021-08-01,359.093994140625,302.429992675781,0,0,2
2021-08-02,356.222991943359,300.25,0,0,2
2021-08-03,355.691986083984,300.065002441406,0,15,2
2021-08-04,354.890014648438,299.785003662109,0,6,2
2021-08-05,353.799011230469,300.924011230469,0,0,2
2021-08-08,354.378997802734,301.510009765625,0,0,1
2021-08-09,353.532989501953,301.665008544922,0,6,1
2021-08-10,355.381988525391,303.535003662109,0,0,1
2021-08-11,353.894989013672,301.589996337891,0,0,1
2021-08-12,352.971008300781,300.739990234375,0,0,1
2021-08-15,352.527008056641,299.182006835938,0,0,13
2021-08-16,352.063995361328,300.299011230469,0,0,13
2021-08-17,351.381011962891,300.200012207031,0,0,13
2021-08-18,351.592010498047,300.942993164062,0,0,13
